APOLLOHOSP.NS,APOLLOHOSP.NS
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS
BAJAJFINSV.NS,BAJAJFINSV.NS
BAJFINANCE.NS,BAJFINANCE.NS
BHARTIARTL.NS,BHARTIARTL.NS
BRITANNIA.NS,BRITANNIA.NS
CIPLA.NS,CIPLA.NS
COALINDIA.NS,COALINDIA.NS
HDFC.NS,HDFC.NS
HDFCLIFE.NS,HDFCLIFE.NS
HEROMOTOCO.NS,HEROMOTOCO.NS
HINDALCO.NS,HINDALCO.NS
ICICIBANK.NS,ICICIBANK.NS
INDUSINDBK.NS,INDUSINDBK.NS
ITC.NS,ITC.NS
KOTAKBANK.NS,KOTAKBANK.NS
LT.NS,LT.NS
MARUTI.NS,MARUTI.NS
MM.NS,MM.NS
NESTLEIND.NS,NESTLEIND.NS
NTPC.NS,NTPC.NS
ONGC.NS,ONGC.NS
RELIANCE.NS,RELIANCE.NS
TATACONSUM.NS,TATACONSUM.NS
TATASTEEL.NS,TATASTEEL.NS
TCS.NS,TCS.NS 
TECHM.NS,TECHM.NS
TITAN.NS,TITAN.NS
ULTRACEMCO.NS,ULTRACEMCO.NS
WIPRO.NS,WIPRO.NS
