Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,11150.0,11170.400390625,10989.9501953125,11015.0498046875,10262.1162109375,31709
2019-01-02,10980.5,11160.0,10907.0498046875,11035.400390625,10281.072265625,28167
2019-01-03,11111.0,11499.0,10999.900390625,11207.150390625,10441.08203125,169291
2019-01-04,11139.0,11198.900390625,10655.5498046875,10851.2001953125,10109.46484375,206163
2019-01-07,10875.0,10939.650390625,10700.0,10786.099609375,10048.8125,85959
2019-01-08,10800.0,11240.0,10690.0,11005.400390625,10253.1240234375,134341
2019-01-09,11099.849609375,11298.400390625,11058.400390625,11252.25,10483.1005859375,98483
2019-01-10,11320.0,11447.7998046875,11139.599609375,11416.599609375,10636.2158203125,76915
2019-01-11,11400.150390625,11458.0,11151.0,11273.0,10502.4306640625,57253
2019-01-14,11300.0,11385.7001953125,11189.9501953125,11228.650390625,10461.11328125,51811
2019-01-15,11296.0,11340.0,11200.0,11282.650390625,10511.4208984375,49470
2019-01-16,11261.0498046875,11291.75,10980.0,11055.900390625,10300.1708984375,136679
2019-01-17,11200.0,11232.9501953125,11122.0,11165.7001953125,10402.466796875,72737
2019-01-18,11200.0,11326.4501953125,11181.0,11248.400390625,10479.51171875,76762
2019-01-21,11296.0,11308.9501953125,11150.099609375,11255.25,10485.8955078125,19108
2019-01-22,11290.0,11350.0,11200.0,11236.5498046875,10468.4736328125,39958
2019-01-23,11255.0,11348.0,11240.0,11315.900390625,10542.3994140625,51210
2019-01-24,11315.900390625,11460.0,11306.0498046875,11433.400390625,10651.869140625,104618
2019-01-25,11460.0,11517.0,11300.0,11365.599609375,10588.7021484375,59928
2019-01-28,11365.599609375,11420.0,11155.0,11360.599609375,10584.0419921875,103963
2019-01-29,11380.0,11440.0,11293.900390625,11399.099609375,10619.9111328125,70632
2019-01-30,11420.0,11439.75,11280.0,11396.650390625,10617.6298828125,39290
2019-01-31,11420.0,11538.9501953125,11373.0498046875,11497.849609375,10711.9111328125,95373
2019-02-01,11498.0498046875,11622.0,11430.150390625,11556.5498046875,10766.599609375,61906
2019-02-04,11515.0,11642.150390625,11500.0,11533.75,10745.3583984375,34434
2019-02-05,11534.9501953125,11654.0,11510.099609375,11607.4501953125,10814.01953125,36727
2019-02-06,11654.0,11654.0,11469.7001953125,11617.400390625,10823.2900390625,27885
2019-02-07,11615.0,11749.0,11540.0,11715.7001953125,10914.8720703125,36168
2019-02-08,11707.9501953125,11751.0,11111.0,11242.7001953125,10474.2041015625,114697
2019-02-11,11300.0,11300.0,10765.4501953125,10843.5,10102.2890625,122841
2019-02-12,10835.0,10850.0,10615.7001953125,10783.7998046875,10046.6728515625,97576
2019-02-14,10541.0,10778.9501953125,10310.0,10628.7998046875,9902.2666015625,124563
2019-02-15,10450.0,10740.150390625,10251.0,10535.4501953125,9815.2958984375,414813
2019-02-18,10549.0,10579.9501953125,10176.25,10349.4501953125,9642.01171875,87235
2019-02-19,10350.0498046875,10729.0498046875,10350.0498046875,10515.400390625,9796.619140625,88601
2019-02-20,10531.5,10638.849609375,10399.25,10521.7998046875,9802.578125,62379
2019-02-21,10500.0,10671.4501953125,10450.0,10621.9501953125,9895.8837890625,70280
2019-02-22,10639.900390625,10709.0,10561.650390625,10685.4501953125,9955.04296875,55283
2019-02-25,10739.0,10870.0,10680.0,10831.650390625,10091.2509765625,42086
2019-02-26,10799.0,10855.0,10666.5,10804.400390625,10065.861328125,72467
2019-02-27,10804.400390625,10820.650390625,10651.7998046875,10713.7001953125,9981.3623046875,85713
2019-02-28,10750.0,10763.4501953125,10555.099609375,10639.75,9912.46484375,111875
2019-03-01,10640.0,10675.0,10406.0498046875,10451.7998046875,9737.365234375,109782
2019-03-05,10281.4501953125,10566.650390625,10281.4501953125,10505.9501953125,9787.8154296875,81658
2019-03-06,10593.0,10593.0,10195.0,10320.75,9615.2744140625,145434
2019-03-07,10340.0,10352.599609375,10165.099609375,10203.349609375,9505.8955078125,78052
2019-03-08,10219.9501953125,10220.0,10035.0,10095.150390625,9405.0927734375,98498
2019-03-11,10099.349609375,10329.0,10031.650390625,10292.7998046875,9589.232421875,114136
2019-03-12,10298.900390625,10511.9501953125,10260.0498046875,10428.900390625,9716.03125,83043
2019-03-13,10528.0,10754.9501953125,10500.400390625,10723.2998046875,9990.3046875,133760
2019-03-14,10758.0,10770.0,10540.0,10739.2998046875,10005.212890625,55804
2019-03-15,10701.2998046875,10762.0498046875,10230.0498046875,10289.900390625,9586.533203125,183452
2019-03-18,10375.0,10495.400390625,10271.2001953125,10456.599609375,9741.8369140625,61262
2019-03-19,10456.599609375,10755.0,10409.849609375,10707.0,9975.1201171875,82821
2019-03-20,10729.900390625,10749.9501953125,10463.5,10530.150390625,9810.3603515625,59630
2019-03-22,10593.0,10649.0,10527.25,10600.650390625,9876.0400390625,85656
2019-03-25,10515.0498046875,10549.900390625,10303.0,10528.2998046875,9808.634765625,109785
2019-03-26,10565.2001953125,10790.25,10515.9501953125,10691.900390625,9961.05078125,150685
2019-03-27,10690.9501953125,11049.0,10576.75,10892.0,10147.474609375,139605
2019-03-28,10938.900390625,11130.0,10801.0,11073.099609375,10316.1962890625,91828
2019-04-01,10980.0,11121.0,10861.099609375,10915.150390625,10169.0419921875,81431
2019-04-02,10979.7001953125,10979.7001953125,10700.0,10786.7998046875,10049.466796875,59609
2019-04-03,10947.0,11067.0,10780.0,11003.75,10251.5859375,74692
2019-04-04,11059.0,11059.0,10850.0,10961.849609375,10212.548828125,40177
2019-04-05,10935.0498046875,11091.0,10900.0,10980.75,10230.158203125,26013
2019-04-08,10999.0,11050.0,10804.5,10850.599609375,10108.9052734375,37049
2019-04-09,10889.0,10889.0,10740.0,10790.0498046875,10052.4951171875,75730
2019-04-10,10792.5,10850.0,10730.0,10811.9501953125,10072.896484375,48089
2019-04-11,10795.0,10899.0,10690.0,10764.099609375,10028.31640625,93902
2019-04-12,10767.900390625,11000.0,10764.2998046875,10973.7998046875,10223.6826171875,49737
2019-04-15,11000.0,11089.0,10891.0498046875,10970.099609375,10220.2353515625,84735
2019-04-16,11000.0,11218.9501953125,10995.0,11155.7998046875,10393.2412109375,89355
2019-04-18,11186.400390625,11239.9501953125,10925.0,10954.4501953125,10205.6552734375,56399
2019-04-22,10965.0,11125.0,10851.5498046875,10879.900390625,10136.203125,31883
2019-04-23,10940.0,10979.0,10872.0,10910.2001953125,10164.4306640625,25119
2019-04-24,10907.5,11029.5498046875,10705.0,10833.400390625,10092.8798828125,76358
2019-04-25,10890.0,10990.0,10780.0,10846.4501953125,10105.0380859375,90249
2019-04-26,10851.0,11049.2001953125,10822.0498046875,10971.25,10221.3076171875,51412
2019-04-30,10900.0,10974.9501953125,10854.7001953125,10905.2998046875,10183.0693359375,74238
2019-05-02,10905.0,10905.0,10403.0498046875,10589.7001953125,9911.0927734375,44249
2019-05-03,10650.0,10650.0,10380.0,10485.7001953125,9813.7578125,115448
2019-05-06,10400.0,10497.099609375,10305.0498046875,10364.0,9721.1787109375,90136
2019-05-07,10401.5,10589.9501953125,10401.0,10477.099609375,9827.263671875,72631
2019-05-08,10487.75,10536.0,10275.7001953125,10298.349609375,9659.6005859375,46391
2019-05-09,10295.0,10409.0,10200.0,10362.2001953125,9719.4892578125,46552
2019-05-10,10371.900390625,10435.650390625,10171.0498046875,10231.150390625,9596.5673828125,61273
2019-05-13,10262.0,10433.25,10232.25,10300.0498046875,9661.1953125,48042
2019-05-14,10310.0,10364.400390625,10120.0498046875,10198.650390625,9566.0849609375,54275
2019-05-15,10401.0,10509.0,10211.0,10268.5498046875,9631.6484375,127190
2019-05-16,10332.7001953125,10401.0,10255.0498046875,10280.5498046875,9642.90234375,39322
2019-05-17,10299.9501953125,10546.2001953125,10256.849609375,10465.650390625,9816.5244140625,65704
2019-05-20,10680.0,10832.0,10560.349609375,10768.150390625,10100.26171875,49555
2019-05-21,10849.9501953125,10884.7001953125,10493.9501953125,10609.2001953125,9951.1689453125,47182
2019-05-22,10650.0498046875,10784.2001953125,10600.0,10700.5498046875,10036.8525390625,31497
2019-05-23,10848.0,10989.0,10680.0,10797.0498046875,10127.369140625,56257
2019-05-24,10813.0,10849.900390625,10592.2998046875,10660.0498046875,9998.865234375,49465
2019-05-27,10750.0,11083.0,10700.0,11036.25,10351.7333984375,84400
2019-05-28,11040.0,11165.0,10950.0,11105.2001953125,10416.4052734375,133445
2019-05-29,11125.0,11295.9501953125,10987.4501953125,11206.0,10510.9521484375,128654
2019-05-30,11175.25,11345.0,11170.0,11320.5,10618.353515625,93421
2019-05-31,11350.0,11540.0,11303.4501953125,11498.099609375,10784.9365234375,70172
2019-06-03,11498.599609375,11700.0,11498.599609375,11686.4501953125,10961.603515625,64302
2019-06-04,11600.0,11698.0,11428.0,11552.349609375,10835.8212890625,96144
2019-06-06,11552.349609375,11684.0,11530.0,11603.2998046875,10883.6103515625,82658
2019-06-07,11610.0,11628.0,11451.0,11503.849609375,10790.3310546875,43726
2019-06-10,11607.099609375,11729.0,11376.0,11698.400390625,10972.8134765625,48341
2019-06-11,11755.0,11817.7001953125,11498.099609375,11622.9501953125,10902.0419921875,72286
2019-06-12,11674.0,11715.0,11505.0,11695.5,10970.0927734375,43374
2019-06-13,11620.0,11661.5498046875,11570.0498046875,11613.75,10893.412109375,69156
2019-06-14,11615.5,11723.650390625,11451.0,11489.0,10776.3994140625,40564
2019-06-17,11559.0,11629.650390625,11425.650390625,11480.849609375,10768.755859375,45786
2019-06-18,11505.0498046875,11551.9501953125,11300.0,11457.599609375,10746.9462890625,55529
2019-06-19,11478.900390625,11650.5,11450.0,11611.7001953125,10891.4892578125,69510
2019-06-20,11613.0498046875,11759.0,11474.2001953125,11718.0498046875,10991.2431640625,65396
